"date","time","tweet","year_month","year"
2023-01-18,"","gracias","2023_01","2023"
2023-01-18,"","gracias","2023_01","2023"
2023-01-18,"","graciaaas","2023_01","2023"
2023-01-18,"","gracias pendienteestoy segura va poner pilas lleguen incentivos estare pidiendo apoyo","2023_01","2023"
2023-01-18,"","sexta opcion opcion mejores pagare dias mejor mercado tasa anual inversion aqui plan metas dan rendimiento mes vencido dinero disponible momento","2023_01","2023"
2023-01-18,""," buena onda vos david disfrutarlo","2023_01","2023"
2023-01-19,"","gracias","2023_01","2023"
2023-01-19,"","hola pueden apoyar favor ","2023_01","2023"
2023-01-19,"","agradece aviso ","2023_01","2023"
2023-01-19,"","gracias reflejado solucionado gracias","2023_01","2023"
2023-01-20,"","listo gracias","2023_01","2023"
2023-01-20,"","gracias","2023_01","2023"
2023-01-20,"","tkm ","2023_01","2023"
2023-01-20,"","coesia animense sacar cuenta gracias regalo cneiaokii","2023_01","2023"
2023-01-20,"","cof cof tambien ","2023_01","2023"
2023-01-20,"","super recomiendo cobran plastico","2023_01","2023"
2023-01-20,"","afounadamente mexico da cuenta ","2023_01","2023"
2023-01-21,"","gracias darme respuesta soluciono problema excelente dia","2023_01","2023"
2023-01-23,"","gracias ","2023_01","2023"
2023-01-23,"","gracias equipo ayudo resolver problema dieron recompensa gane","2023_01","2023"
2023-01-23,"","gracias mes toco boletodorado","2023_01","2023"
2023-01-23,"","bello","2023_01","2023"
2023-01-23,"","aun esperanza congrats ","2023_01","2023"
2023-01-24,"","gracias ","2023_01","2023"
2023-01-24,"","gracias","2023_01","2023"
2023-01-24,"","gracias ","2023_01","2023"
2023-01-24,"","gracias premio boletodorado canjee tarjeta regalo","2023_01","2023"
2023-01-24,"","tio gracias boleto dorado fin toco","2023_01","2023"
2023-01-24,"","mames buena suee","2023_01","2023"
2023-01-24,"","segundo premio espero lleguen mas","2023_01","2023"
2023-01-25,"","gracias","2023_01","2023"
2023-01-25,"","gracias ","2023_01","2023"
2023-01-25,"","hola beneficia usuarios","2023_01","2023"
2023-01-26,"","gracias apoyo seguimiento","2023_01","2023"
2023-01-26,"","gracias tio ayuda bastante","2023_01","2023"
2023-01-26,"","gracias mes gratis","2023_01","2023"
2023-01-27,"","gracias resolvio saludos","2023_01","2023"
2023-01-27,"","vale gracias ","2023_01","2023"
2023-01-27,"","funciono cayo segundos raro gracias","2023_01","2023"
2023-01-27,"","hola escribi dm par dudas tdcgracias","2023_01","2023"
2023-01-27,"","gracias pae fc barcelona","2023_01","2023"
2023-01-27,"","daran credito tradicional llevo mas ao tarjeta credito garantia cumplido pagos tiempo forma","2023_01","2023"
2023-01-28,"","ok gracias","2023_01","2023"
2023-01-28,"","despues ao probando tarjeta credito puedo decir buena hablar cuenta debito realmente temas seguridad transacciones top tqm","2023_01","2023"
2023-01-28,"","amistad usa usas tarjeta veces mes compras pesos vuelves heypro inversion da rendimiento anual super super bien comparacion bancos inveir aos allianz explico prima suena rebien","2023_01","2023"
2023-01-28,"","excelente","2023_01","2023"
2023-01-29,"","gane premios","2023_01","2023"
2023-01-29,"","amiga explicame","2023_01","2023"
2023-01-30,"","gracias informacion","2023_01","2023"
2023-01-30,"","thanku","2023_01","2023"
2023-01-30,"","vientos gracias","2023_01","2023"
2023-01-30,"","encantaria presumir premio boleto dorado existiera","2023_01","2023"
2023-01-31,"","pueden proporcionar link invitar mas gente tener beneficiogracias","2023_01","2023"
2023-02-01,"","gracias ","2023_02","2023"
2023-02-01,"","gracias checo","2023_02","2023"
2023-02-01,"","habra viaje financiero buena informacion","2023_02","2023"
2023-02-01,"","gracias dato soeo ","2023_02","2023"
2023-02-01,"","buen dia mepueden ayudar realizaron deposito cuenta credito necesito credito","2023_02","2023"
2023-02-02,"","gracias","2023_02","2023"
2023-02-02,"","gracias soluciono buenas tardes","2023_02","2023"
2023-02-02,"","realizaregracias","2023_02","2023"
2023-02-02,"","diciembre gane tarjeta regalo amazon ticket dorado compre estose emociona seora","2023_02","2023"
2023-02-03,"","funciono mil gracias","2023_02","2023"
2023-02-03,"","gracias necesario buena opcion momento problemas graves adaptarme procesos aun asi creo van buen camino aunque ocasiones hagan enojar","2023_02","2023"
2023-02-04,"","mmm da rendimiento buena opcion","2023_02","2023"
2023-02-04,"","gracias aumento credito tarjeta contenta servicios ","2023_02","2023"
2023-02-05,"","hablando ajolotes sacara tarjeta encanto ","2023_02","2023"
2023-02-07,"","seria mejor tdc pudiera realizar pagos adelantado meses intereses cuentas opcion excelente usuarios","2023_02","2023"
2023-02-08,"","casi rindo obtuve ayuda equipo sopoe afounadamente alguien aqui refirio twitter enviale mensaje privado arreglo gracias contactalo","2023_02","2023"
2023-02-08,"","gracias mejor ","2023_02","2023"
2023-02-10,"","pagares semanales anual semana obtienes rendimientos puedes reinveir siguiente pagare forma automatica generas interes compuesto rapido muchisimo mejor anual cetes","2023_02","2023"
2023-02-11,"","gracias","2023_02","2023"
2023-02-11,"","solucionado gracias","2023_02","2023"
2023-02-11,"","alch hechate investigadas cetes gmb cetes ocupas investigar chido seguro dinero seguro rapido","2023_02","2023"
2023-02-11,"","excelente servicio atencion clientes ","2023_02","2023"
2023-02-11,"","primera vez gane boleto dorado dor quiero ","2023_02","2023"
2023-02-13,"","ok gracias ","2023_02","2023"
2023-02-13,"","gracias duda","2023_02","2023"
2023-02-13,"","gracias formar pae gran familia","2023_02","2023"
2023-02-13,"","despues hoy vida favorito dijeron ten tarjeta regalo eches starbucks relajes rato","2023_02","2023"
2023-02-14,""," recomendado vdd","2023_02","2023"
2023-02-14,"","ver fit viable seguros vida ","2023_02","2023"
2023-02-14,"","interesante encontre permisos utiliza aplicacion activada necesitan","2023_02","2023"
2023-02-15,""," gracias ","2023_02","2023"
2023-02-15,"","hola intenta telefono correo imagen app verdad problemas","2023_02","2023"
2023-02-15,"","hola ocupo ayuda cambio numero celular token","2023_02","2023"
2023-02-16,"","eh pensado cambiar nomina agustoque bueno dicen sacar tarjeta ahi","2023_02","2023"
2023-02-16,"","gracias vi relacion transferencias internacionales veo informacion","2023_02","2023"
2023-02-16,"","pues mas vale verdad","2023_02","2023"
2023-02-16,"","listo","2023_02","2023"
2023-02-17,"","acaba llegar constancia fiscal ao pasado gane nomas tener dinero guardado ","2023_02","2023"
2023-02-17,"","jamas menos amex primera anualidad gratis da beneficios compras primer ao bonos","2023_02","2023"
2023-02-17,"","gracias respuesta estare pendiente","2023_02","2023"
2023-02-18,"","hola buenas tardes","2023_02","2023"
2023-02-18,"","buen dia gracias respondi dm tarde pense respondian noche hehe","2023_02","2023"
2023-02-20,"","gracias","2023_02","2023"
2023-02-20,"","tqm gracias poner retiros cajeros hsbc q mas cerquita","2023_02","2023"
2023-02-21,"","hola","2023_02","2023"
2023-02-23,"","saludos","2023_02","2023"
2023-02-23,"","real tarjeta neta general ","2023_02","2023"
2023-02-23,""," cuenta nunca pedi fisica pedire gracias recomendacion ","2023_02","2023"
2023-02-23,"","puedo inveir genera ganancias","2023_02","2023"
2023-02-24,"","bueno perdi tarjeta necesitaba nueva diseo","2023_02","2023"
2023-02-24,"","tqm mejores bancos producto tdc pagares bancarios inveir ademas sabe ando foraneo regalo dinerito amazon boleto dorado","2023_02","2023"
2023-02-24,"","hola buen dia solicitar tarjeta diseo nuevo utilizarlarecien llegarme metalica embargo atraen diseos coleccionable quisiera pedir perder metal","2023_02","2023"
2023-02-25,"","gracias ahorita amo ","2023_02","2023"
2023-02-26,"","gracias bro","2023_02","2023"
2023-02-26,"","gracias envie","2023_02","2023"
2023-02-26,"","gracias responder quedo espera solucion problema","2023_02","2023"
2023-02-26,"","hice varias transferencias rato bien","2023_02","2023"
2023-02-26,"","veces cuestion limpiar chip pasarla asi solucionado inconveniente","2023_02","2023"
2023-02-26,"","contesta compairles colaboracion hice","2023_02","2023"
2023-02-26,"","ah gracias mencionas evidente relevancia excelente comentario","2023_02","2023"
2023-02-26,"","agradecemos comprension jaja increible","2023_02","2023"
2023-02-26,"","correcto bbva bbva problemas avisaron aproximadamente","2023_02","2023"
2023-02-27,"","gracias respondi","2023_02","2023"
2023-02-27,"","listo gracias","2023_02","2023"
2023-02-27,"","perfecto gracias ","2023_02","2023"
2023-02-27,"","tremenda sabiduria quede anonadado mensaje creia cantidad ponia garantia utilizaba nios alimento indigentes despues entregaban tarjeta credito tremenda explicacion","2023_02","2023"
2023-02-27,"","padrisima tarjeta","2023_02","2023"
2023-02-27,"","bonito considerar adquirir tarjeta","2023_02","2023"
2023-02-27,"","gracias mande datos tarjeta","2023_02","2023"
2023-02-27,"","problema","2023_02","2023"
2023-02-27,"","problema falla dalay","2023_02","2023"
2023-02-27,"","pf sigues intermitencias bbva problema","2023_02","2023"
2023-02-27,"","primera habia chichen itza esperando modelo bonito tambien","2023_02","2023"
2023-02-27,"","bbva bancoppel dos trabajan perfeccion","2023_02","2023"
2023-02-27,"","entiendo agradezco comentario sugerencia gustaria recibir notificacion correo texto servicio estara disponible caer situacion sirve mucha utilidad tarjeta gustaria seguir","2023_02","2023"
2023-02-27,"","bien ","2023_02","2023"
2023-02-28,"","siento poderosa gracias contenta ","2023_02","2023"
2023-02-28,"","bien","2023_02","2023"
2023-02-28,"","maravilla servicio eficiente app primera altamente recomendable","2023_02","2023"
2023-02-28,"","ay mia diseo super cool ","2023_02","2023"
2023-03-01,"","animense casi ao tarjeta credito heygarantizada problemas incluyendo extranjero","2023_03","2023"
2023-03-02,"","gracias segun recuerdo habia dia activar volvere hacerlo tdd tdc gracias","2023_03","2023"
2023-03-02,"","exito","2023_03","2023"
2023-03-02,""," recomendadisimas pd yotepresto ladrillos hechoenjalisco","2023_03","2023"
2023-03-03,"","hola gracias respuesta dm indicaron logre hacer movimiento requeria","2023_03","2023"
2023-03-03,"","manifiesto hoy sali enmoradisima subi asi casi voy dar vuelta hermosisimo carro haganme buena","2023_03","2023"
2023-03-03,"","resolvio actualizacion app gracias tambien sirvio dm ","2023_03","2023"
2023-03-03,"","verdad estan bien","2023_03","2023"
2023-03-03,"","definitivamente","2023_03","2023"
2023-03-04,"","gracias secuestrar plata ahorro bitcoin fixes this literalmente salva ","2023_03","2023"
2023-03-04,"","gracias transferencia aplicada dia siguiente","2023_03","2023"
2023-03-06,"","gracias resolvi jajaja equivoque","2023_03","2023"
2023-03-06,"","quedo aclarado tema gracias","2023_03","2023"
2023-03-07,"","bank run","2023_03","2023"
2023-03-07,"","respondi privado saludos","2023_03","2023"
2023-03-07,"","bueno saberlo","2023_03","2023"
2023-03-08,"","gracias informacion ","2023_03","2023"
2023-03-08,"","gracias","2023_03","2023"
2023-03-08,"","listo","2023_03","2023"
2023-03-08,"","asi da bienvenida tarjeta metal aun beneficios adicionales ","2023_03","2023"
2023-03-08,"","cayo app buena experiencia fallen necesita","2023_03","2023"
2023-03-08,"","verdad menos tedioso proceso hablar alguien agrada experiencia","2023_03","2023"
2023-03-09,"","gracias conteste","2023_03","2023"
2023-03-09,"","ayuda","2023_03","2023"
2023-03-09,"","gracias volvi contestar par horas","2023_03","2023"
2023-03-09,"","mas rapido marcar hacer caa hechos ponia datos queria cambiar hicieron fin pude instalar token chico atendio super bueno amable llama christhian hernandez ","2023_03","2023"
2023-03-10,"","avisan van quiebra sacar dinero inversion dias porfas gracias antemano amo ","2023_03","2023"
2023-03-11,"","yeah mejores pesar veto","2023_03","2023"
2023-03-12,"","gracias","2023_03","2023"
2023-03-12,"","solucionado gracias ","2023_03","2023"
2023-03-12,"","","2023_03","2023"
2023-03-13,"","gracias","2023_03","2023"
2023-03-13,"","gracias ","2023_03","2023"
2023-03-13,"","siguen hablando horario laboralel personal dhl descuide trabajo significa descuidar miosi van hablar despues hrs pmagradezco vez lean horario hablen puedo atender telefono","2023_03","2023"
2023-03-13,"","exacto puntos lealtad cambian tiendapor menos santander tienda tenia tecnologia aiculos hogar mejor cambien mas cashback","2023_03","2023"
2023-03-13,"","verdaderamente mejor tqm ","2023_03","2023"
2023-03-13,"","bueno pude","2023_03","2023"
2023-03-13,"","excelente","2023_03","2023"
2023-03-13,"","excelente","2023_03","2023"
2023-03-13,"","bien excelente","2023_03","2023"
2023-03-13,"","gane mes spotify usuario mejor cambien tarjeta gusta mas blanca negocio ","2023_03","2023"
2023-03-13,"","excelente eh trabajo varios aos perfecto","2023_03","2023"
2023-03-14,"","super ojala pueda corregido app entonces aparecio asi dias repente graciascc","2023_03","2023"
2023-03-14,"","wooow emocion","2023_03","2023"
2023-03-14,""," nunca gano nadapero hoy empeze bien dia ","2023_03","2023"
2023-03-14,"","exito","2023_03","2023"
2023-03-15,"","conteste gracias","2023_03","2023"
2023-03-15,"","listos ","2023_03","2023"
2023-03-15,"","gracias conoci use hoy dejo definitivamente mio recomiendo bancos fintech mexicano","2023_03","2023"
2023-03-15,"","cambiate momento mejor probado dan gastas dinero gratis siempre paga tiempo nunca paga intereses","2023_03","2023"
2023-03-15,"","wwwooowww maravilla felicidades supuesto ahi estare disfrutar chica dorada","2023_03","2023"
2023-03-15,"","verdad agradezco tarjeta debito necesito","2023_03","2023"
2023-03-16,"","gracias informacion ahi vemos junio","2023_03","2023"
2023-03-16,"","pues bueno ","2023_03","2023"
2023-03-16,"","dj increible","2023_03","2023"
2023-03-16,"","muchas graciasquedo esperasaludos","2023_03","2023"
2023-03-16,"","festival tercermundista felicidades","2023_03","2023"
2023-03-16,"","supermana hermosa ","2023_03","2023"
2023-03-17,"","gracias seguimiento","2023_03","2023"
2023-03-17,"","primera tdc thx","2023_03","2023"
2023-03-17,"","gracias respuesta","2023_03","2023"
2023-03-17,"","gracias espero pronta respuesta agradecimiento","2023_03","2023"
2023-03-17,"","sorprendido permite organicen cosas ","2023_03","2023"
2023-03-18,"","gracias siempre super buena rapida atencion pae","2023_03","2023"
2023-03-19,"","gracias ","2023_03","2023"
2023-03-21,"","hola quiero decirles gracias seguimiento problema token quedo resuelto buena atencion final problema pae sino operadora saludos","2023_03","2023"
2023-03-22,"","gracias","2023_03","2023"
2023-03-22,"","hagan sufrir mas dinamica tikitoki jajaja ","2023_03","2023"
2023-03-23,"","buen dia necesito ayuda","2023_03","2023"
2023-03-23,"","excelente servicio atencion clientes nunca cambien ","2023_03","2023"
2023-03-23,"","ojito ahi dinamicas dia hoy gane dinamica abono pal noe etiqueta","2023_03","2023"
2023-03-24,"","saludos bro gracias ver videos","2023_03","2023"
2023-03-24,"","gracias","2023_03","2023"
2023-03-24,"","gracias tocayo fan ","2023_03","2023"
2023-03-24,"","hola permiteme conocer mas caso via mensaje privado poder dae atencion necesaria rapida saludos","2023_03","2023"
2023-03-24,"","ojito ahi dinamicas dia hoy gane dinamica abono pal noe etiqueta","2023_03","2023"
2023-03-24,"","facil","2023_03","2023"
2023-03-25,"","gracias","2023_03","2023"
2023-03-25,"","hola ntp despues intentos pudieron asistir gracias","2023_03","2023"
2023-03-26,"","anualidad juntas k libre anualidad mejor pedazo metal visa standard","2023_03","2023"
2023-03-26,"","exacto todas duales","2023_03","2023"
2023-03-26,"","fondeadora metal world elite","2023_03","2023"
2023-03-28,"","ok gracias","2023_03","2023"
2023-03-28,"","gracias dios jajaja","2023_03","2023"
2023-03-28,"","igual amazon","2023_03","2023"
2023-03-28,"","this is the oppounity of lifetime gotta watch this web developers mev strategy video and learn how to make some serious cash with crypto","2023_03","2023"
2023-03-28,"","hombre merece mandes ademas grata felicitacion foto especial unica censura autografiada x diosa tw","2023_03","2023"
2023-03-28,"","dios pague hijos","2023_03","2023"
2023-03-28,"","mandamela llegar jajaja chido resolvio ","2023_03","2023"
2023-03-28,"","mando beso tronado apreton nalga angel argello dos horas resolvio asunto llevaba dias estancado agradecida ","2023_03","2023"
2023-03-29,"","habia dicho conozco angel timido gustas llegar presente","2023_03","2023"
2023-03-29,"","gracias recibi codigo ","2023_03","2023"
2023-03-29,"","agradecida mejor","2023_03","2023"
2023-03-29,"","tambien agradezco personas querido hacer donaciones vestuario duda agradezco aprecio enormemente gustan donar pueden hacerlo clabe nombre noris vargas g embargo tambien pueden","2023_03","2023"
2023-03-29,"","jajaja bien","2023_03","2023"
2023-03-29,"","ojito ahi dinamicas dia hoy gane dinamica abono pal noe etiqueta","2023_03","2023"
2023-03-29,"","amigues primera vez vida gane dinamica jajajajaja gracias gane pastel dinamica ","2023_03","2023"
2023-03-30,"","tantas juntas cashback viendo beneficios dan ganas sacar tarjetas amp","2023_03","2023"
2023-03-30,"","tambien agradezco personas querido hacer donaciones vestuario duda agradezco aprecio","2023_03","2023"
2023-03-31,"","gracias supongo asi semana santa correcto saludos","2023_03","2023"
2023-03-31,"","gracias estare pendiente responda","2023_03","2023"
2023-03-31,"","secreto contesten rapido cuento bebiendo ojala paguen resuelven super rapido","2023_03","2023"
2023-04-01,"","gracias","2023_04","2023"
2023-04-01,"","gracias comunique dieron folio seguimiento respecto situacion espera revuelva posible","2023_04","2023"
2023-04-03,"","gracias tamos readys palnoe ","2023_04","2023"
2023-04-03,"","bueno intento mas tarde gracias maite gusto saludae","2023_04","2023"
2023-04-03,"","habla numero tarjeta hice asi ningun problema espaa ","2023_04","2023"
2023-04-03,"","this web developers mev strategy is gamechanger hes making over eth per week and you need to learn how","2023_04","2023"
2023-04-04,"","cuento hice tampoco tenia historial tenia nubank ahi bien posterior realmente interesaba usar tarjetapero vi tenia pagare interesome registre cuenta solicite plastico","2023_04","2023"
2023-04-06,"","resolvi gracias","2023_04","2023"
2023-04-06,"","gracias darnos agita morir disenteria agua puerca bebedores ","2023_04","2023"
2023-04-08,"","buenas tardes","2023_04","2023"
2023-04-08,"","adivinen estoyque buena experiencia ","2023_04","2023"
2023-04-11,""," seguramente veremos dando mas noticias innovacion servicios generando mas competencia industria financiera beneficia usuariosbancadigital numexico innovacion competenciafinanciera fintech","2023_04","2023"
2023-04-11,""," gran ventaja experiencia aos mercado ganando terreno jovenes servicios patrocinar festivales musica permite crecer junto clientes","2023_04","2023"
2023-04-13,"","gracias volvi contestar dm","2023_04","2023"
2023-04-13,"","gracias solucionaron problema","2023_04","2023"
2023-04-14,"","gracias","2023_04","2023"
2023-04-14,"","gracias respuesta pronta","2023_04","2023"
2023-04-14,"","gracias pronta devolucion sirvio pagarle","2023_04","2023"
2023-04-15,"","gracias mando dm brevedad","2023_04","2023"
2023-04-15,"","ma gracias tio fantastico descuento checkup","2023_04","2023"
2023-04-17,"","super gracias","2023_04","2023"
2023-04-18,"","correcto esperare contacto pae arreglar situacion inversion pro ","2023_04","2023"
2023-04-19,"","gracias","2023_04","2023"
2023-04-19,"","excelente gracias sopoe tio igual manera quiero agregar error solucionado adicional dia recibi sms notificaban debido incidencia mostraba trabajando nuevamente gracias ","2023_04","2023"
2023-04-19,"","gracias voy comunicarme entonces","2023_04","2023"
2023-04-19,"","estan proceso resolver segun mensajes estan enviando saludos","2023_04","2023"
2023-05-12,"","gracias","2023_05","2023"
2023-05-12,"","llego gracias","2023_05","2023"
2023-05-12,"","gusto saludae erich ponemos disposicion cuenta correo electronico gusto atenderemos dudas escribenos asesoriacondusefgobmx recuerda condusef apoya","2023_05","2023"
2023-05-12,"","mejor lt","2023_05","2023"
2023-05-12,"","productos mas esperados ao youtube unboxing activacion pequea navegacion app tarjeta metalica compao link video tarjetadecredito","2023_05","2023"
2023-05-13,"","mejor visto","2023_05","2023"
2023-05-15,"","excelente gracias","2023_05","2023"
2023-05-15,"","gracias respuesta","2023_05","2023"
2023-05-15,"","llamar pelear resta tiempo kilos neuronas practicamente resta vida pitero","2023_05","2023"
2023-05-15,"","hola excelente tarde podrian ayudar mande dm favor gracias ","2023_05","2023"
2023-05-15,"","encanta manda notificacion cobro ","2023_05","2023"
2023-05-15,"","algun tiempo estimado respuesta","2023_05","2023"
2023-05-15,"","conociendo contrasea usuario entrar facilmente dispositivo llegue algun tipo notificacion via sms correo electronico sabes bien","2023_05","2023"
2023-05-15,"","explica","2023_05","2023"
2023-05-16,"","hola hoy maana tenia nuevo usuario funciono normalidad app","2023_05","2023"
2023-05-16,"","razon","2023_05","2023"
2023-05-16,"","garantia creo voy bien cuantos meses normales inversion nomina cuenta debitos ahi ","2023_05","2023"
2023-05-16,"","bueno cambie nomina","2023_05","2023"
2023-05-16,"","gracias avisar","2023_05","2023"
2023-05-16,"","buen dia envie mensaje espero puedan ayudar gracias","2023_05","2023"
2023-05-16,"","buenos dias vez mas sigo espera","2023_05","2023"
2023-05-17,"","gracias quedo resuelto","2023_05","2023"
2023-05-17,"","excelente mitad semanapara aun duda funciona tarjeta garantizada ","2023_05","2023"
2023-05-17,"","solicito apoyo","2023_05","2023"
2023-05-17,"","excelente mitad semanapara aun duda funciona tarjeta garantizada ","2023_05","2023"
2023-05-18,"","quedo gracias","2023_05","2023"
2023-05-18,"","tqm ","2023_05","2023"
2023-05-19,"","ok gracias","2023_05","2023"
2023-05-19,"","jajaja siii dias chale","2023_05","2023"
2023-05-19,"","resuelto gracias equipo","2023_05","2023"
2023-05-20,"","agradecido ayudaron aclaracion rapidisimo dia mas feliz haber dejado banca tradicional ","2023_05","2023"
2023-05-21,"","gracias ","2023_05","2023"
2023-05-21,"","hola buen dia","2023_05","2023"
2023-05-22,"","gracias ","2023_05","2023"
2023-05-22,"","listo enviado saludos","2023_05","2023"
2023-05-22,"","gusta bajarles mandado bancos espaoles dominan pais","2023_05","2023"
2023-05-23,"","presumiendo anual klar decide sacar tentador","2023_05","2023"
2023-05-23,"","resuelveme urge hacer compra","2023_05","2023"
2023-05-23,"","recomiendo ampliamente usen alternativas llamados bancos tradicionales bancos estan cobrando alguna comision tipo cuentas debito peor aun estan generando entonces estan lugar incorrecto","2023_05","2023"
2023-05-24,"","gracias saludos","2023_05","2023"
2023-05-24,"","bueno dijeron tenia marcar quedo","2023_05","2023"
2023-05-24,"","ay paso afounadamente jejeje","2023_05","2023"
2023-05-25,"","gracias respondi","2023_05","2023"
2023-05-25,"","jaja nel","2023_05","2023"
2023-05-27,"","okay gracias","2023_05","2023"
2023-05-27,"","funciono nuevamente aplicacion","2023_05","2023"
2023-05-27,"","contestan tambien","2023_05","2023"
2023-05-29,"","listo mande gracias ","2023_05","2023"
2023-05-29,"","siempre control finanzas tambien movimientos gracias notificaciones qu","2023_05","2023"
2023-05-29,"","quiero trabajar ayudan diciendome","2023_05","2023"
2023-05-30,"","gracias","2023_05","2023"
2023-05-30,"","siempre control finanzas tambien movimientos gracias notificaciones qu","2023_05","2023"
2023-05-30,"","eficiencia","2023_05","2023"
2023-05-31,"","gracias nunca contesto afounadamente quedado resuelto","2023_05","2023"
2023-05-31,"","hola abre cuenta obten boleto dorado mes ganar recomiendo muchisimo cuenta resean bien varios youtubers finanzas","2023_05","2023"
2023-05-31,"","gracias boleto dorado ","2023_05","2023"
2023-06-01,"","gracias apoacion saludos","2023_06","2023"
2023-06-01,"","llamo servicioalcliente mexico verdad asi debe tratar cliente mas meter dinero aprendan","2023_06","2023"
2023-06-01,"","buen dia mas facil obtenga credito alguna caja popular peor lucha saludos","2023_06","2023"
2023-06-02,"","gracias","2023_06","2023"
2023-06-02,"","gracias quedo espera","2023_06","2023"
2023-06-02,"","deje dm solicitando valioso apoyosaludos","2023_06","2023"
2023-06-02,"","gracias mes gratis","2023_06","2023"
2023-06-03,"","gracias envie duda","2023_06","2023"
2023-06-03,"","gracias responder da gusto solucionado rapido ojala asi caso saludos","2023_06","2023"
2023-06-03,"","gracias lic tres aos dice deben negar volvere hacerlo amable atencion abrazo","2023_06","2023"
2023-06-03,"","gracias hare nuevo abrazo fuee ","2023_06","2023"
2023-06-03,"","favor gracias","2023_06","2023"
2023-06-05,"","gracias saludos","2023_06","2023"
2023-06-05,"","gracias responderacabo lograr desbloqueo","2023_06","2023"
2023-06-05,"","espero","2023_06","2023"
2023-06-06,"","jajajajjaja vic trabajo duda dudes mandarme mensajito","2023_06","2023"
2023-06-07,"","gracias","2023_06","2023"
2023-06-07,"","buenos diseos","2023_06","2023"
2023-06-08,"","hola","2023_06","2023"
2023-06-10,"","siempre control finanzas tambien movimientos gracias notificaciones qu","2023_06","2023"
2023-06-12,"16:52:11","gracias pendiente informacion","2023_06","2023"
2023-06-13,"20:36:26","feliz aos santander free cambie tarjeta parecio chulada recomiendo ampliamente","2023_06","2023"
2023-06-15,"22:51:17","hola caso comunique alli resolvieron founa sencillo rapido suee","2023_06","2023"
